,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
84,shirokaya rechka,56.7986,60.4852,54.86,77,100,2.98,RU,1626916163
85,tasiilaq,65.6145,-37.6368,42.96,98,100,8.95,GL,1626916163
86,half moon bay,37.4636,-122.4286,85.75,70,20,14.97,US,1626916164
87,carnarvon,-24.8667,113.6333,66.27,61,1,5.75,AU,1626916164
88,torbay,47.6666,-52.7314,51.76,98,100,1.01,CA,1626915929
89,kaeo,-35.1,173.7833,64.33,74,71,11.14,NZ,1626916165
90,bayanday,53.0661,105.5139,68.16,63,0,0.94,RU,1626916165
91,port elizabeth,-33.918,25.5701,45.1,69,100,28.99,ZA,1626916165
92,bandar-e lengeh,26.5579,54.8807,91.69,74,0,12.24,IR,1626916166
93,valparaiso,-33.0393,-71.6273,53.47,84,90,3.44,CL,1626916132
94,isangel,-19.55,169.2667,78.85,75,47,6.11,VU,1626916166
95,tuatapere,-46.1333,167.6833,48.81,74,96,6.04,NZ,1626916167
96,salinopolis,-0.6136,-47.3561,77.9,88,13,10.42,BR,1626916167
97,tuy hoa,13.0833,109.3,83.05,64,100,15.39,VN,1626915942
98,esperance,-33.8667,121.9,55.18,62,82,17.52,AU,1626916168
99,kutum,14.2,24.6667,72.23,65,100,11.97,SD,1626916168
100,geraldton,-28.7667,114.6,58.12,94,90,5.75,AU,1626916169
101,ishigaki,24.3448,124.1572,82.53,89,75,25.32,JP,1626916169
102,santa maria,-29.6842,-53.8069,48.47,73,0,3.98,BR,1626916169
103,southampton,50.904,-1.4043,68.86,84,0,1.01,GB,1626916170
104,constantine,36.365,6.6147,71.31,49,0,3.24,DZ,1626916170
105,grants,35.1473,-107.8514,71.83,49,1,12.66,US,1626916170
106,calvinia,-31.4707,19.776,33.3,87,7,6.15,ZA,1626916171
107,port-gentil,-0.7193,8.7815,74.35,79,60,13.78,GA,1626916171
108,cairns,-16.9167,145.7667,81.95,57,9,3.44,AU,1626916031
109,mangrol,21.1167,70.1167,82.45,85,98,23.94,IN,1626916162
110,comodoro rivadavia,-45.8667,-67.5,58.86,41,0,17.27,AR,1626915908
111,nanortalik,60.1432,-45.2371,42.89,99,100,10.33,GL,1626916182
112,sao filipe,14.8961,-24.4956,76.39,86,99,4.18,CV,1626915960
113,conakry,9.538,-13.6773,79.32,82,93,9.71,GN,1626916183
114,mercedes,-34.6515,-59.4307,56.86,69,100,8.46,AR,1626916183
115,manbij,36.5281,37.9549,77.77,78,0,21.77,SY,1626916184
116,garowe,8.4054,48.4845,77.0,63,70,25.01,SO,1626916189
117,sayyan,15.1718,44.3244,58.41,86,67,5.77,YE,1626916190
118,klaksvik,62.2266,-6.589,52.72,93,13,14.32,FO,1626915924
119,ulladulla,-35.35,150.4667,61.88,44,7,3.89,AU,1626916190
120,amga,60.8953,131.9608,75.25,47,10,11.23,RU,1626916191
121,chokurdakh,70.6333,147.9167,49.8,64,96,7.02,RU,1626915893
122,kruisfontein,-34.0033,24.7314,42.89,63,100,29.33,ZA,1626916017
123,pochutla,15.7432,-96.4661,85.82,82,100,2.01,MX,1626916198
124,souillac,-20.5167,57.5167,68.36,75,47,16.11,MU,1626915671
125,punta arenas,-53.15,-70.9167,37.11,93,100,1.95,CL,1626915837
126,laguna,38.421,-121.4238,101.32,20,1,5.01,US,1626915974
127,yar-sale,66.8333,70.8333,57.43,81,3,9.78,RU,1626915832
128,safaga,26.7292,33.9365,88.41,38,10,19.3,EG,1626915934
129,bouna,9.2667,-3.0,72.7,82,100,5.82,CI,1626916199
130,san cristobal,7.7669,-72.225,73.58,97,100,4.07,VE,1626916200
131,haines junction,60.7522,-137.5108,70.12,42,100,8.46,CA,1626915995
132,lebu,-37.6167,-73.65,51.62,93,100,3.83,CL,1626915858
133,kon tum,14.35,108.0,72.7,97,100,5.12,VN,1626916201
134,yumen,40.2833,97.2,77.27,42,100,12.97,CN,1626915981
135,bengkulu,-3.8004,102.2655,77.38,76,88,3.83,ID,1626915665
136,elsdorf,50.9374,6.5683,63.57,80,0,3.44,DE,1626916204
137,adrar,20.5022,-10.0711,86.25,12,11,11.48,MR,1626915738
138,qaanaaq,77.484,-69.3632,38.86,98,100,12.77,GL,1626915895
139,zhigansk,66.7697,123.3711,64.71,51,100,4.43,RU,1626916205
140,anadyr,64.75,177.4833,59.5,58,20,6.71,RU,1626916205
141,vila velha,-20.3297,-40.2925,64.35,94,75,3.44,BR,1626915888
142,san ramon,37.7799,-121.978,92.26,51,1,7.0,US,1626916103
143,turukhansk,65.8167,87.9833,63.12,62,100,12.57,RU,1626916206
144,markova,48.6758,24.4138,57.36,91,99,6.76,UA,1626916206
145,koraput,18.8167,82.7167,69.69,98,100,4.74,IN,1626916207
146,bandarbeyla,9.4942,50.8122,79.47,70,20,23.69,SO,1626915789
147,lagoa,39.05,-27.9833,67.19,72,100,14.72,PT,1626915920
148,acapulco,16.8634,-99.8901,83.01,81,46,4.7,MX,1626916208
149,georgetown,5.4112,100.3354,83.89,85,20,0.0,MY,1626915914
150,kavieng,-2.5744,150.7967,82.76,76,98,7.16,PG,1626915841
151,bitung,1.4451,125.1824,90.45,74,28,14.38,ID,1626916208
152,viedma,-40.8135,-62.9967,50.13,60,100,10.49,AR,1626915941
153,touros,-5.1989,-35.4608,76.1,82,20,14.23,BR,1626915910
154,halifax,44.6453,-63.5724,67.68,91,9,1.99,CA,1626915833
155,usinsk,65.9939,57.5281,42.67,87,100,19.3,RU,1626916031
156,rio bravo,25.9833,-98.1,76.06,72,100,5.44,MX,1626916210
157,saint augustine,29.8947,-81.3145,82.02,97,1,0.0,US,1626916210
158,praya,14.9215,-23.5087,77.25,85,11,1.21,CV,1626916210
159,mama,58.3106,112.8986,76.44,57,0,3.24,RU,1626916211
160,sorong,-0.8833,131.25,82.17,77,93,8.21,ID,1626916211
161,elko,41.0002,-115.5012,89.74,16,100,7.0,US,1626916212
162,provideniya,64.3833,-173.3,50.11,71,75,8.95,RU,1626915879
163,fort nelson,58.8053,-122.7002,61.5,80,100,6.38,CA,1626916212
164,inongo,-1.95,18.2667,70.56,55,49,5.39,CD,1626916213
165,anloga,5.7947,0.8973,77.29,79,100,15.1,GH,1626916023
166,chuy,-33.6971,-53.4616,47.93,79,100,3.96,UY,1626915734
167,grindavik,63.8424,-22.4338,53.56,100,90,9.22,IS,1626916006
168,interlaken,36.9513,-121.7338,86.58,62,1,9.22,US,1626916214
169,medea,36.2642,2.7539,64.85,21,0,5.41,DZ,1626916214
170,mount gambier,-37.8333,140.7667,47.57,67,100,11.72,AU,1626915910
171,vardo,70.3705,31.1107,44.4,91,100,19.1,NO,1626915865
172,les cayes,18.2,-73.75,78.85,87,100,4.43,HT,1626915909
173,hirara,24.8,125.2833,83.28,86,100,53.37,JP,1626915905
174,bambanglipuro,-7.95,110.2833,78.51,77,70,4.88,ID,1626916074
175,alghero,40.5589,8.3181,75.99,94,0,2.3,IT,1626916216
176,broken hill,-31.95,141.4333,41.2,84,100,19.62,AU,1626915831
177,airai,-8.9266,125.4092,69.93,39,100,3.31,TL,1626915870
178,trofors,65.5333,13.4063,52.95,97,100,9.8,NO,1626916217
179,aklavik,68.2191,-135.0107,88.52,29,36,11.43,CA,1626915877
180,aykhal,66.0,111.5,64.94,69,0,9.82,RU,1626916217
181,hovd,48.0056,91.6419,74.52,27,55,2.35,MN,1626916218
182,lompoc,34.6391,-120.4579,80.22,74,1,18.99,US,1626915869
183,kalmunai,7.4167,81.8167,81.25,63,100,8.1,LK,1626916036
184,asyut,27.181,31.1837,86.79,35,0,14.12,EG,1626916219
185,taikang,46.8333,124.4167,80.51,72,100,10.45,CN,1626916219
186,kot samaba,28.5522,70.4684,88.97,51,3,3.22,PK,1626916219
187,rosario,-32.9468,-60.6393,55.6,61,0,1.01,AR,1626915905
188,myitkyina,25.3833,97.4,76.3,99,100,1.43,MM,1626916226
189,san ignacio,17.1561,-89.0714,80.74,83,0,0.0,BZ,1626916226
190,te anau,-45.4167,167.7167,45.64,82,80,2.82,NZ,1626915714
191,narsaq,60.9167,-46.05,46.62,97,26,4.07,GL,1626915980
192,nizhniy kuranakh,58.8353,125.4869,68.7,71,100,1.72,RU,1626916227
193,chute-aux-outardes,49.1168,-68.399,60.4,89,100,3.11,CA,1626916227
194,bathsheba,13.2167,-59.5167,80.4,84,100,17.27,BB,1626916228
195,bethel,41.3712,-73.414,73.67,85,0,5.12,US,1626915668
196,leningradskiy,69.3833,178.4167,39.49,74,100,6.11,RU,1626915927
197,kununurra,-15.7667,128.7333,76.98,33,94,3.44,AU,1626915799
198,iqaluit,63.7506,-68.5145,45.7,75,100,11.01,CA,1626915613
199,deputatskiy,69.3,139.9,53.91,68,100,7.09,RU,1626915908
200,joao pinheiro,-17.7425,-46.1725,66.67,52,0,3.33,BR,1626916234
201,bambous virieux,-20.3428,57.7575,68.22,71,72,18.07,MU,1626915662
202,talcahuano,-36.7167,-73.1167,53.71,85,100,4.43,CL,1626915702
203,fairbanks,64.8378,-147.7164,79.61,41,1,1.01,US,1626916126
204,oboyan,51.2098,36.2792,62.92,95,2,8.77,RU,1626916235
205,cadiz,36.5,-5.75,70.75,51,0,4.72,ES,1626916236
206,darab,28.7519,54.5444,86.31,23,0,5.55,IR,1626916035
207,olafsvik,64.8945,-23.7142,52.88,95,100,11.23,IS,1626915718
208,puerto ayora,-0.7393,-90.3518,72.55,93,100,10.0,EC,1626915693
209,cherskiy,68.75,161.3,64.31,50,73,3.94,RU,1626915782
210,nishihara,26.1842,127.7558,81.68,89,75,23.02,JP,1626916082
211,los llanos de aridane,28.6585,-17.9182,67.75,89,0,13.8,ES,1626915819
212,bull savanna,17.8868,-77.5902,77.36,75,96,11.07,JM,1626916237
213,kaitangata,-46.2817,169.8464,51.93,69,66,7.49,NZ,1626915720
214,carroll,39.5501,-77.0164,76.95,80,1,1.01,US,1626916238
215,paralimni,35.0375,33.9833,78.08,91,0,4.0,CY,1626916238
216,prainha,-1.8,-53.48,77.58,77,56,2.68,BR,1626916238
217,thinadhoo,0.5333,72.9333,81.52,75,100,9.69,MV,1626916187
218,havoysund,70.9963,24.6622,43.68,92,100,21.39,NO,1626916239
219,gorin,51.1983,136.6669,88.12,51,63,3.15,RU,1626916239
220,ponta delgada,37.7333,-25.6667,68.72,77,75,0.0,PT,1626915734
221,horconcitos,8.4682,-81.8007,70.75,92,100,4.03,PA,1626916241
222,clyde river,70.4692,-68.5914,37.27,90,100,2.82,CA,1626915677
223,saint-augustin,51.226,-58.6502,57.09,70,100,7.18,CA,1626915853
224,wana,32.2989,69.5725,72.88,61,19,2.82,PK,1626916242
225,kapuskasing,49.4169,-82.4331,61.9,65,98,5.19,CA,1626915956
226,luwuk,-0.9516,122.7875,76.21,93,100,5.26,ID,1626916248
227,viareggio,43.8735,10.2558,72.09,69,87,1.54,IT,1626916248
228,tateyama,34.9833,139.8667,86.05,71,6,3.04,JP,1626916248
229,namasuba,0.6894,32.4214,65.21,71,100,1.07,UG,1626916249
230,brae,60.3964,-1.353,51.71,92,0,12.62,GB,1626916032
231,warwick,41.7001,-71.4162,75.33,80,75,6.91,US,1626916250
232,erenhot,43.6475,111.9767,80.22,48,100,12.62,CN,1626915702
233,potrerillos arriba,8.6833,-82.5,72.12,89,100,2.98,PA,1626916250
234,bredasdorp,-34.5322,20.0403,41.29,87,86,8.21,ZA,1626915694
235,paamiut,61.994,-49.6678,42.24,85,26,8.39,GL,1626916112
236,dingle,10.9995,122.6711,83.55,73,97,15.84,PH,1626915722
237,thompson,55.7435,-97.8558,71.76,60,90,4.61,CA,1626915610
238,alofi,-19.0595,-169.9187,80.49,74,75,16.11,NU,1626915829
239,maputo,-25.9653,32.5892,60.48,82,0,9.22,MZ,1626915982
240,san pedro buenavista,16.0833,-93.1167,73.04,89,44,0.83,MX,1626916252
241,carutapera,-1.195,-46.02,74.7,95,18,4.92,BR,1626916253
242,elze,52.1226,9.736,65.01,91,72,1.86,DE,1626916253
243,atikokan,48.7555,-91.6216,69.04,42,100,6.85,CA,1626916253
244,verkhoyansk,67.5447,133.385,66.34,44,0,5.95,RU,1626916254
245,musoma,-1.5,33.8,68.04,71,1,6.38,TZ,1626916254
246,saurimo,-9.6608,20.3916,60.19,33,0,6.33,AO,1626916255
247,east london,-33.0153,27.9116,51.55,62,9,26.22,ZA,1626915692
248,masallatah,32.6167,14.0,71.62,80,0,2.24,LY,1626916255
249,san luis,-33.295,-66.3356,54.77,32,100,4.79,AR,1626916252
250,kiunga,-6.1219,141.2906,77.79,90,96,3.24,PG,1626915782
251,lavrentiya,65.5833,-171.0,40.19,75,100,10.98,RU,1626915811
252,takoradi,4.8845,-1.7554,75.29,85,47,8.81,GH,1626915714
253,popondetta,-8.7537,148.2534,86.25,60,79,4.99,PG,1626916257
254,umm lajj,25.0213,37.2685,85.84,81,52,14.56,SA,1626915704
255,santa vitoria do palmar,-33.5189,-53.3681,48.4,75,100,3.96,BR,1626916257
256,mount isa,-20.7333,139.5,67.77,26,6,10.36,AU,1626915833
257,road town,18.4167,-64.6167,82.49,79,0,20.27,VG,1626916174
258,tukrah,32.5341,20.5791,78.28,75,28,11.54,LY,1626916258
259,benguela,-12.5763,13.4055,67.66,90,2,1.32,AO,1626916258
260,beringovskiy,63.05,179.3167,55.65,64,69,3.24,RU,1626915769
261,iglino,54.8324,56.4126,59.09,83,80,3.49,RU,1626916259
262,sungaipenuh,-2.0833,101.3833,69.6,62,86,1.3,ID,1626916259
263,mormugao,15.4,73.8,77.16,86,100,17.49,IN,1626916260
264,cabo san lucas,22.8909,-109.9124,97.52,64,0,10.71,MX,1626915431
265,cam ranh,11.9214,109.1591,89.56,48,75,4.61,VN,1626916261
266,kirkuk,35.4681,44.3922,90.95,21,0,3.65,IQ,1626916261
267,buta,2.7858,24.73,71.62,70,100,2.57,CD,1626915991
268,northam,51.0333,-4.2167,69.3,73,100,4.59,GB,1626915796
269,olot,42.181,2.4901,74.8,38,0,5.64,ES,1626916052
270,jamame,0.0722,42.7506,74.37,85,49,11.56,SO,1626916145
271,hutchinson,38.0608,-97.9298,82.71,45,1,1.99,US,1626916262
272,alugan,12.2188,125.4808,86.43,64,100,14.7,PH,1626916164
273,pevek,69.7008,170.3133,42.62,68,3,8.41,RU,1626915399
274,kavaratti,10.5669,72.642,82.22,82,100,22.75,IN,1626915833
275,puerto escondido,15.85,-97.0667,82.2,82,100,4.43,MX,1626916263
276,dunedin,-45.8742,170.5036,50.81,64,87,14.0,NZ,1626915679
277,san patricio,28.017,-97.5169,84.09,63,96,7.7,US,1626915741
278,outlook,51.5001,-107.0513,87.96,36,0,9.33,CA,1626916269
279,lokosovo,61.1333,74.8167,62.31,96,100,9.8,RU,1626916270
280,doka,13.5167,35.7667,69.39,91,100,9.55,SD,1626916270
281,okha,53.5739,142.9478,76.1,71,100,10.45,RU,1626916270
282,tautira,-17.7333,-149.15,84.22,76,43,12.41,PF,1626916271
283,sheksna,59.21,38.5107,43.63,73,6,5.01,RU,1626916271
284,jogindarnagar,31.9833,76.7667,73.02,84,96,3.71,IN,1626916272
285,kidal,18.4411,1.4078,85.41,50,100,4.7,ML,1626916272
286,arman,59.7,150.1667,54.72,92,100,9.13,RU,1626916272
287,mocuba,-16.8392,36.9856,67.3,85,47,2.59,MZ,1626916273
288,isla aguada,18.7833,-91.4667,85.05,78,8,11.92,MX,1626916273
289,coari,-4.085,-63.1414,78.93,66,81,2.33,BR,1626916273
290,burnie,-41.0667,145.9167,54.91,76,100,4.74,AU,1626916274
291,khatanga,71.9667,102.5,52.23,93,100,3.91,RU,1626916274
292,upernavik,72.7868,-56.1549,42.94,82,100,10.16,GL,1626916275
293,codrington,-38.2667,141.9667,47.82,76,100,13.29,AU,1626916275
294,pemangkat,1.1667,108.9667,81.57,80,99,8.32,ID,1626916276
295,noshiro,40.2039,140.0242,82.0,71,100,3.83,JP,1626916277
296,tshikapa,-6.4167,20.8,70.77,35,0,2.66,CD,1626916277
297,uarini,-2.99,-65.1083,78.96,68,100,0.74,BR,1626916278
298,namatanai,-3.6667,152.4333,82.31,76,81,4.85,PG,1626916278
299,college,64.8569,-147.8028,79.59,41,75,5.75,US,1626916279
300,celestun,20.8667,-90.4,84.58,73,3,17.29,MX,1626916279
301,svetlaya,46.5389,138.3297,73.58,82,98,7.38,RU,1626916279
302,namibe,-15.1961,12.1522,64.26,82,0,3.38,AO,1626916281
303,filadelfia,39.9523,-75.1638,75.18,85,75,1.99,US,1626915990
304,rojhan,28.6868,69.9534,87.82,50,0,7.05,PK,1626916281
305,tonantins,-2.8731,-67.8022,77.92,70,86,2.35,BR,1626916273
306,solnechnyy,50.7214,136.6319,86.67,53,81,3.09,RU,1626916282
307,leua,48.2156,18.6071,62.49,73,6,4.45,SK,1626916282
308,hamilton,39.1834,-84.5333,75.76,72,1,1.01,US,1626916149
309,taoudenni,22.6783,-3.9836,102.04,12,18,9.55,ML,1626916032
310,neiafu,-18.65,-173.9833,79.48,78,20,11.5,TO,1626916284
311,cuamba,-14.8031,36.5372,70.52,59,99,2.93,MZ,1626916284
312,katsuura,35.1333,140.3,86.14,69,8,4.43,JP,1626916284
313,springdale,36.1867,-94.1288,80.73,66,20,5.01,US,1626916285
314,korla,41.7597,86.1469,86.43,23,55,8.37,CN,1626916285
315,ilulissat,69.2167,-51.1,44.62,81,81,0.0,GL,1626916285
316,gondanglegi,-7.7479,112.0132,79.68,70,61,10.54,ID,1626916286
317,muyezerskiy,63.9333,31.65,51.49,73,100,10.71,RU,1626916286
318,havelock,34.8791,-76.9013,82.38,91,0,3.0,US,1626916287
319,tecoanapa,16.5167,-98.75,83.98,78,11,5.5,MX,1626916287
320,cidreira,-30.1811,-50.2056,53.47,62,0,1.52,BR,1626916287
321,indio,33.7206,-116.2156,113.63,21,1,5.99,US,1626916288
322,krasnoselkup,65.7,82.4667,65.77,64,100,17.94,RU,1626916288
323,saskylakh,71.9167,114.0833,61.45,60,100,15.59,RU,1626916289
324,gotsu,35.0,132.2167,84.27,58,100,6.87,JP,1626916289
325,flinders,-34.5833,150.8552,57.18,62,0,1.99,AU,1626915994
326,ribeira grande,38.5167,-28.7,68.2,73,51,13.31,PT,1626916290
327,aswan,24.0934,32.907,92.68,20,99,12.64,EG,1626916290
328,moerai,-22.4333,-151.3333,74.3,67,41,6.02,PF,1626916290
329,iralaya,15.0,-83.2333,80.94,83,100,14.16,HN,1626916291
330,srednekolymsk,67.45,153.6833,65.17,56,100,5.37,RU,1626916291
331,beloha,-25.1667,45.05,68.58,61,1,7.05,MG,1626916291
332,porto novo,6.4965,2.6036,75.85,78,38,7.31,BJ,1626916292
333,ferrol,43.4832,-8.2369,65.35,94,100,2.91,ES,1626916292
334,ancud,-41.8697,-73.8203,49.53,86,100,12.82,CL,1626916293
335,gazanjyk,39.2446,55.5154,82.33,31,3,1.74,TM,1626916293
336,tocopilla,-22.092,-70.1979,64.56,63,13,5.97,CL,1626916294
337,bustamante,26.5333,-100.5,81.28,60,91,6.71,MX,1626916299
338,xai-xai,-25.0519,33.6442,63.43,83,0,8.46,MZ,1626916299
339,naze,28.3667,129.4833,77.18,91,100,28.63,JP,1626916061
340,nanakuli,21.3906,-158.1547,85.95,68,90,8.05,US,1626916305
341,champerico,14.3,-91.9167,86.76,76,35,4.21,GT,1626915916
342,kupang,-10.1667,123.5833,81.18,74,20,10.36,ID,1626916306
343,channel-port aux basques,47.5702,-59.1367,62.06,94,100,10.36,CA,1626916306
344,iquitos,-3.7481,-73.2472,76.86,71,100,1.28,PE,1626915781
345,hami,42.8,93.45,89.19,19,57,1.23,CN,1626915796
346,nicolas bravo,18.45,-88.9167,76.98,88,3,3.91,MX,1626916307
347,shimoda,34.6667,138.95,85.1,71,4,5.73,JP,1626915938
348,gustrow,53.7972,12.1734,57.52,88,20,3.44,DE,1626916307
349,mazamitla,19.9167,-103.0333,60.51,86,98,1.7,MX,1626916308
350,marsaxlokk,35.8419,14.5431,77.07,94,0,2.3,MT,1626916308
351,koslan,63.4564,48.8989,44.02,80,8,2.91,RU,1626916309
352,lagos,6.5833,3.75,75.92,79,100,5.88,NG,1626915926
353,ganserndorf,48.3392,16.7202,63.99,73,0,5.93,AT,1626916309
354,santa cruz,-17.8,-63.1667,60.26,67,40,3.44,BO,1626916310
355,bejar,40.3864,-5.7634,72.57,29,0,3.42,ES,1626916310
356,paita,-5.0892,-81.1144,66.24,84,0,14.85,PE,1626915753
357,iberia,29.9502,-91.7507,84.27,78,1,6.91,US,1626916312
358,hithadhoo,-0.6,73.0833,82.11,73,100,13.31,MV,1626915735
359,dickinson,29.4608,-95.0513,86.16,74,20,4.61,US,1626916312
360,tabou,4.423,-7.3528,75.9,85,11,7.45,CI,1626916313
361,ussel,45.55,2.3167,62.08,76,40,2.93,FR,1626916313
362,graham,47.0529,-122.2943,73.81,45,75,0.0,US,1626916186
363,bowen,-20.0167,148.2333,67.03,49,8,11.07,AU,1626916314
364,la ronge,55.1001,-105.2842,71.82,78,90,4.61,CA,1626915838
365,aranos,-24.1333,19.1167,33.55,31,0,6.35,NA,1626916314
366,debre tabor,11.85,38.0167,50.85,94,100,1.48,ET,1626916168
367,fethiye,36.6217,29.1164,85.87,54,0,2.84,TR,1626916315
368,samarai,-10.6167,150.6667,78.93,71,94,14.38,PG,1626915858
369,brejo,-3.6844,-42.7503,74.3,82,22,4.09,BR,1626916315
370,norman wells,65.282,-126.8329,84.33,30,52,2.42,CA,1626916316
